Track URI	Track Name	Artist URI(s)	Artist Name(s)	Album URI	Album Name	Album Artist URI(s)	Album Artist Name(s)	Album Release Date	Album Image URL	Disc Number	Track Number	Track Duration (ms)	Track Preview URL	Explicit	Popularity	Added By	Added At	Danceability	Energy	Key	Loudness	Mode	Speechiness	Acousticness	Instrumentalness	Liveness	Valence	Tempo	Time Signature
spotify:track:4HF4d4sSEiG30kkrWawoJr	Eastern Meditations	spotify:artist:1bF3IgxBQw61FRqeyuvq7b	Meditation Mantras Guru	spotify:album:2ZNfGr15IkCHxKQjsIhFP6	Indian Meditation Music - Spiritual Healing, Yoga, Tantra, Chakra Balance, Relaxation	spotify:artist:1bF3IgxBQw61FRqeyuvq7b	Meditation Mantras Guru	2017-12-12	https://i.scdn.co/image/ab67616d0000b273067b5fab70214312b40af5dd	1	4	231373	https://p.scdn.co/mp3-preview/4f4c6ffca57bb81244c88bc69f620fe79c1bbcf8?cid=9950ac751e34487dbbe027c4fd7f8e99	false	2	spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi	2022-02-15T08:33:51Z	0.156	0.27	2	-18.932	1	0.0593	0.654	0.866	0.204	0.0382	69.761	3
spotify:track:4UZ1AAxuW5LISHp47GRRL0	Indian Forest Birds Sounds	spotify:artist:1bF3IgxBQw61FRqeyuvq7b	Meditation Mantras Guru	spotify:album:2ZNfGr15IkCHxKQjsIhFP6	Indian Meditation Music - Spiritual Healing, Yoga, Tantra, Chakra Balance, Relaxation	spotify:artist:1bF3IgxBQw61FRqeyuvq7b	Meditation Mantras Guru	2017-12-12	https://i.scdn.co/image/ab67616d0000b273067b5fab70214312b40af5dd	1	2	229789	https://p.scdn.co/mp3-preview/a773b862194f0541809ba8fb2247a24d25a94ffb?cid=9950ac751e34487dbbe027c4fd7f8e99	false	2	spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi	2022-02-15T08:33:56Z	0.172	0.016	9	-32.744	0	0.0524	0.861	0.928	0.0737	0.0368	116.733	3
spotify:track:4H22EhiazFjgyESJEpmguK	Sacred Mantra Chanting	spotify:artist:1bF3IgxBQw61FRqeyuvq7b	Meditation Mantras Guru	spotify:album:2ZNfGr15IkCHxKQjsIhFP6	Indian Meditation Music - Spiritual Healing, Yoga, Tantra, Chakra Balance, Relaxation	spotify:artist:1bF3IgxBQw61FRqeyuvq7b	Meditation Mantras Guru	2017-12-12	https://i.scdn.co/image/ab67616d0000b273067b5fab70214312b40af5dd	1	3	233567	https://p.scdn.co/mp3-preview/430631284fbe4413e85b027c3e5a2dced30a588b?cid=9950ac751e34487dbbe027c4fd7f8e99	false	2	spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi	2022-02-15T08:33:58Z	0.16	0.0432	9	-26.427	1	0.0472	0.757	0.904	0.112	0.039	108.276	4
spotify:track:3D5P8JXtLcokZW4ADXxMVd	Zen Breathing Techniques	spotify:artist:1bF3IgxBQw61FRqeyuvq7b	Meditation Mantras Guru	spotify:album:2ZNfGr15IkCHxKQjsIhFP6	Indian Meditation Music - Spiritual Healing, Yoga, Tantra, Chakra Balance, Relaxation	spotify:artist:1bF3IgxBQw61FRqeyuvq7b	Meditation Mantras Guru	2017-12-12	https://i.scdn.co/image/ab67616d0000b273067b5fab70214312b40af5dd	1	1	230516	https://p.scdn.co/mp3-preview/88baca2e35c3672e222bf76f81400a026ae84be1?cid=9950ac751e34487dbbe027c4fd7f8e99	false	2	spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi	2022-02-15T08:34:02Z	0.255	0.0329	4	-26.413	1	0.0849	0.994	0.863	0.0858	0.179	66.458	5
spotify:episode:7zuKJbiM1H90ka98l1PFtx	Indian Flute Music // Instrumental Music for Yoga and Meditation	spotify:show:4SwpZpZeidc9uTeISyCPoq	Heal-in' Podcast	spotify:show:4SwpZpZeidc9uTeISyCPoq	Heal-in' Podcast	spotify:show:4SwpZpZeidc9uTeISyCPoq	Heal-in' Podcast		https://i.scdn.co/image/ab6765630000ba8ab896c64dde3c7edcd092b37a	0	0	3659494	https://p.scdn.co/mp3-preview/6688e784dea21fe02b8c8bbac5d26b12b7f4fda7	false	0	spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi	2022-02-15T08:34:20Z												
spotify:episode:07yAoOUjUjbrvP0qenStta	Meditative lord krishna flute music for positive Energy , Relaxing body and mind,meditation,yoga	spotify:show:4O9ewm6rHndbj2AiagZiUG	MEDITATION SELF	spotify:show:4O9ewm6rHndbj2AiagZiUG	MEDITATION SELF	spotify:show:4O9ewm6rHndbj2AiagZiUG	MEDITATION SELF		https://i.scdn.co/image/4514ca814660f983cdb29e0220c57486e3124bdf	0	0	3690346	https://p.scdn.co/mp3-preview/c23f8c78391c54c88d9046e21953cca46fa093a6	false	0	spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi	2022-02-15T08:34:21Z												
spotify:track:3hm7GiIuF2AgNungytPN1Z	Gemini Peace	spotify:artist:3Y32SQpXcf2dawNGHnXmyD	Little Prestige	spotify:album:6nsYbm0Xx9cW4DjhPJkgy2	Indian Meditation Music (Instrumental Relaxing Music for Meditation, Yoga, Wellness Centers)	spotify:artist:0LyfQWJT6nXafLPZqxe9Of	Various Artists	2021-08-20	https://i.scdn.co/image/ab67616d0000b273a8584e9fe76c3a3be8f00097	1	6	156879	https://p.scdn.co/mp3-preview/2af43d387f88771b362a371340342661f0c0334d?cid=9950ac751e34487dbbe027c4fd7f8e99	false	7	spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi	2022-02-15T08:34:28Z	0.304	0.272	8	-17.492	1	0.0397	0.743	0.906	0.117	0.0399	128.114	4
spotify:track:1fAiEr2gWoaWkxhbU9Ez6Z	Quiet Mountains	spotify:artist:2PLo9jFnksiqWhW60nEJTF	Symbiotic Seed	spotify:album:6nsYbm0Xx9cW4DjhPJkgy2	Indian Meditation Music (Instrumental Relaxing Music for Meditation, Yoga, Wellness Centers)	spotify:artist:0LyfQWJT6nXafLPZqxe9Of	Various Artists	2021-08-20	https://i.scdn.co/image/ab67616d0000b273a8584e9fe76c3a3be8f00097	1	7	214740	https://p.scdn.co/mp3-preview/45744771b73de4fed72b992bcb5f1490db84aea1?cid=9950ac751e34487dbbe027c4fd7f8e99	false	7	spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi	2022-02-15T08:34:29Z	0.188	0.178	5	-23.666	1	0.0334	0.744	0.81	0.114	0.131	89.292	3
spotify:track:3g5zS30ymuyv4dzt29Qqll	Pilates Eyes	spotify:artist:0e28byc5R8TRPFKP89xWta	Stramred	spotify:album:6nsYbm0Xx9cW4DjhPJkgy2	Indian Meditation Music (Instrumental Relaxing Music for Meditation, Yoga, Wellness Centers)	spotify:artist:0LyfQWJT6nXafLPZqxe9Of	Various Artists	2021-08-20	https://i.scdn.co/image/ab67616d0000b273a8584e9fe76c3a3be8f00097	1	8	158133	https://p.scdn.co/mp3-preview/6b7cfa9dc20cf438afab781399f7369ed94c1182?cid=9950ac751e34487dbbe027c4fd7f8e99	false	10	spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi	2022-02-15T08:34:29Z	0.0868	0.0399	3	-33.546	0	0.039	0.888	0.91	0.112	0.035	71.285	3
spotify:track:7GuOaDUibkTZJaQsLKXsZI	A Gentle Raindop	spotify:artist:6SRWqvCnbUM9I8zuMThGzR	Half Titan Clan	spotify:album:6nsYbm0Xx9cW4DjhPJkgy2	Indian Meditation Music (Instrumental Relaxing Music for Meditation, Yoga, Wellness Centers)	spotify:artist:0LyfQWJT6nXafLPZqxe9Of	Various Artists	2021-08-20	https://i.scdn.co/image/ab67616d0000b273a8584e9fe76c3a3be8f00097	1	9	186815	https://p.scdn.co/mp3-preview/eab8288bcbf9a862dcad0ba5360771024a7d1966?cid=9950ac751e34487dbbe027c4fd7f8e99	false	6	spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi	2022-02-15T08:34:29Z	0.144	0.0527	2	-25.646	1	0.0457	0.961	0.964	0.103	0.0383	102.781	4
